id, name, abbrev, administrative_key, zipcode, url, country_id, institution_id, fax, phone, city_id, institutiontitle_id, institutiontype_id, other, state_id, addr
275, Fachhochschule Osnabrück, 276, 1, 1
276, "Fachhochschule Pforzheim - Hochschule für Gestaltung, Technik und Wirtschaft", 276, 1, 1
277, Fachhochschule Potsdam, 276, 1, 1
278, Fachhochschule Ravensburg-Weingarten - Hochschule für Technik und Sozialwesen, 276, 1, 1
279, Fachhochschule Regensburg, 276, 1, 1
280, Fachhochschule Riedlingen, 276, 1, 1
281, Fachhochschule Rosenheim - Hochschule für Technik und Wirtschaft, 276, 1, 1
282, Fachhochschule Rottenburg - Hochschule für Fortswirtschaft, 276, 1, 1
283, Fachhochschule Stralsund, 276, 1, 1
284, Fachhochschule Stuttgart - Hochschule der Medien, 276, 1, 1
285, Fachhochschule Stuttgart - Hochschule für Technik, 276, 1, 1
286, Fachhochschule Südwestfalen, 276, 1, 1
287, Fachhochschule Trier, 276, 1, 1
288, Fachhochschule Ulm - Hochschule für Technik, 276, 1, 1
289, Fachhochschule Wedel, 276, 1, 1
290, Fachhochschule Weihenstephan Freising, 276, 1, 1
291, Fachhochschule Westküste - Hochschule für Wirtschaft und Technik Heide, 276, 1, 1
292, Fachhochschule Wiesbaden, 276, 1, 1
293, Fachhochschule Würzburg-Schweinfurt, 276, 1, 1
294, FernUniversität in Hagen, 276, 1, 1
295, Folkwang Hochschule, 276, 1, 1
296, Freie Universität Berlin, 276, 1, 1
297, Friedrich-Alexander-Universität Erlangen-Nürnberg, 276, 1, 1
298, Friedrich-Schiller-Universität Jena, 276, 1, 1
299, Georg-August-Universität Göttingen, 276, 1, 1
300, Georg-Simon-Ohm-Fachhochschule Nürnberg, 276, 1, 1
301, Gustav-Siewerth-Akademie Weilheim-Bierbronnen, 276, 1, 1
302, Hamburger Fern-Hochschule, 276, 1, 1
303, Handelshochschule Leipzig, 276, 1, 1
304, Heinrich-Heine-Universität Düsseldorf, 276, 1, 1
305, Helmut Schmidt Universität - Universität der Bundeswehr Hamburg, 276, 1, 1
306, Hochschule Anhalt, 276, 1, 1
307, Hochschule Bremen, 276, 1, 1
308, Hochschule Bremerhaven, 276, 1, 1
309, "Hochschule der Sparkassen-Finanzgruppe, University of Applied Sciences, Bonn GmbH", 276, 1, 1
310, Hochschule für Angewandte Wissenschaften Hamburg (HAW Hamburg), 276, 1, 1
311, Hochschule für Bankwirtschaft Frankfurt am Main, 276, 1, 1
312, Hochschule für Bildende Künste Braunschweig, 276, 1, 1
313, Hochschule für Digitale Medienproduktion - Elstal, 276, 1, 1
314, Hochschule für Jüdische Studien Heidelberg, 276, 1, 1
315, Hochschule für Künste Bremen, 276, 1, 1
316, Hochschule für Musik Detmold, 276, 1, 1
317, Hochschule für Musik Franz Liszt Weimar, 276, 1, 1
318, Hochschule für Musik Karlsruhe, 276, 1, 1
319, Hochschule für Musik Nürnberg-Augsburg, 276, 1, 1
320, Hochschule für Musik und Darstellende Kunst Frankfurt am Main, 276, 1, 1
321, Hochschule für Musik und Theater Hamburg, 276, 1, 1
322, Hochschule für Musik und Theater Hannover, 276, 1, 1
323, Hochschule für Philosophie München, 276, 1, 1
324, Hochschule für Rechtswissenschaft, 276, 1, 1
325, Hochschule für Technik und Wirtschaft des Saarlandes Saarbrücken, 276, 1, 1
326, Hochschule für Technik und Wirtschaft Dresden, 276, 1, 1
327, "Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)", 276, 1, 1
328, Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen, 276, 1, 1
329, Hochschule Harz, 276, 1, 1
330, Hochschule Heilbronn - Hochschule für Technik und Wirtschaft, 276, 1, 1
331, Hochschule Karlsruhe - Technik und Wirtschaft, 276, 1, 1
332, Hochschule Magdeburg-Stendal (FH), 276, 1, 1
333, Hochschule Merseburg, 276, 1, 1
334, Hochschule Mittweida (FH), 276, 1, 1
335, Hochschule Niederrhein, 276, 1, 1
336, Hochschule Reutlingen, 276, 1, 1
337, Hochschule Vechta, 276, 1, 1
338, Hochschule Wismar, 276, 1, 1
339, Hochschule Zittau/Görlitz (FH), 276, 1, 1
340, Humboldt-Universität zu Berlin, 276, 1, 1
341, International School of Management, 276, 1, 1
342, International University Bremen, 276, 1, 1
343, International University in Germany Bruchsal, 276, 1, 1
344, Internationale Fachhochschule Bad Honnef - Bonn, 276, 1, 1
345, Internationales Hochschulinstitut Zittau, 276, 1, 1
346, Johann Wolfgang Goethe-Universität Frankfurt am Main, 276, 1, 1
347, Johannes Gutenberg-Universität Mainz, 276, 1, 1
348, Justus-Liebig-Universität Giessen, 276, 1, 1
349, Katholische Fachhochschule Berlin - Fachhochschule für Sozialwesen, 276, 1, 1
350, "Katholische Fachhochschule Freiburg - Hochschule für Sozialwesen, Religionspädagogik und Pflege", 276, 1, 1
351, Katholische Fachhochschule Mainz, 276, 1, 1
352, Katholische Fachhochschule Nordrhein-Westfalen Köln, 276, 1, 1
353, Katholische Hochschule für Soziale Arbeit Saarbrücken, 276, 1, 1
354, Katholische Stiftungsfachhochschule München, 276, 1, 1
355, Katholische Universität Eichstätt-Ingolstadt, 276, 1, 1
